asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,sales_volume_clean,has_discounts
B08KSGND8P,"samsung galaxy s10 128gb 6.1&quot; 4g lte unlocked, prism black (renewed)",149.85,149.85,4.2,187,14,139.99,False,False,False,True,500+ bought in past month,False,500.0,False
B08HKRVZ4W,"samsung galaxy note 20 5g (128gb, 8gb) 6.7&quot; amoled+, snapdragon 865, global 5g volte (fully unlocked for at&amp;t, verizon, sprint, metro) n981u (mystic bronze) (renewed)",225.0,598.98,4.3,940,19,190.95,False,False,False,True,400+ bought in past month,True,400.0,True
B00FRS8UKM,"vtech cs6719-16 dect 6.0 phone with caller id/call waiting, 1 cordless handset, red",20.23,21.95,4.4,37768,6,10.99,False,False,True,False,300+ bought in past month,False,300.0,True
B0BSQXLQNK,motorola moto e13 dual sim 64gb rom + 2gb ram factory unlocked 4g smartphone (cosmic black) - international version,89.98,89.98,4.0,575,3,67.7,False,False,False,False,100+ bought in past month,False,100.0,False
B0BF8C19NJ,"at&amp;t el51303 3 handset dect 6.0 cordless home phone full-duplex handset speakerphone,backlit display, lighted keypad,caller id/call waiting,phonebook, eco mode,voicemail key,quiet mode,intercom,silver",55.04,55.04,4.3,17629,3,29.65,False,False,True,False,700+ bought in past month,False,700.0,False
B0CQ88L871,"nothing phone (2a) smartphone unlocked 5g android phone dimensity 7200 pro, 50mp dual camera, 6.7&#x27;&#x27; amoled display, 5000mah battery, nfc (milk, 12+256gb)",402.0,402.0,4.5,752,11,359.5,False,False,True,False,50+ bought in past month,True,50.0,False
B08FRTH1KJ,samsung s20+128gb cloud blue unlocked (renewed),199.99,199.99,4.1,3066,23,169.0,False,False,False,True,200+ bought in past month,True,200.0,False
B07BZV9DST,"vtech ds6151-2 2 handset 2-line cordless phone system for home or small business with digital answering system &amp; mailbox on each line, silver",96.87,109.95,4.1,1173,21,36.35,False,False,True,False,600+ bought in past month,False,600.0,True
B0BZK41SXZ,"panasonic cordless phone with advanced call block, bilingual caller id and easy to read large high-contrast display, expandable system with 3 handsets - kx-tgd813b (black)",79.99,79.99,4.3,833,3,37.25,False,False,True,False,300+ bought in past month,False,300.0,False
B0CMPLN52T,"apple iphone 15, 128gb, pink - unlocked (renewed)",620.05,661.99,4.4,566,21,615.99,False,False,False,False,200+ bought in past month,True,200.0,True
B0CCT2VXHC,"tracfone nokia 2760 flip, 4gb, black - prepaid feature phone (locked) (renewed)",14.99,14.99,3.7,60,1,14.99,False,False,True,False,500+ bought in past month,False,500.0,False
B08CFSZLQ4,google pixel 4a - unlocked android smartphone - 128 gb of storage - up to 24 hour battery - just black,159.99,179.99,4.5,10417,15,149.99,False,False,False,True,200+ bought in past month,True,200.0,True
